arm,role,n_cohorts,n_records,n_selections,mae,brier_skill,character_auc,mae_prediction_low,mae_prediction_high,slope_pooled,slope_tau,slope_i_squared,slope_prediction_low,slope_prediction_high,intercept_pooled,intercept_tau,intercept_i_squared,intercept_prediction_low,intercept_prediction_high,n_cohorts_dropped_slope,n_cohorts_dropped_intercept,se_method
calibration_auc,primary,18,739,19611,0.09836484226836315,0.1095122922644507,0.747598549825761,0.03216018960699441,0.25440537708963884,1.0667306892690513,0.5461802227010227,94.97351087983691,-0.12206847109898522,2.255529849637088,-0.09261535607716835,0.8657398572689462,95.5662843359187,-1.979246676824068,1.7940159646697313,0.0,0.0,model
calibration_auc_ea_session,alignment,18,739,19611,0.0945824788635072,0.12406772195684246,0.7559741731228723,0.03224100289731487,0.23603391916917998,1.075241567878973,0.5097643140691298,94.44451082010943,-0.034482631670085695,2.184965767428032,-0.08007119585365868,0.8429014135860609,95.46635911143453,-1.9167299332371703,1.756587541529853,0.0,0.0,model
calibration_auc_ea_cohort,alignment,18,739,19611,0.09673492182363719,0.11395313354626169,0.7534393624200626,0.03342802571869361,0.2406032419144779,1.1053774121986366,0.5829072641515591,95.71605400476673,-0.16294874787483815,2.3737035722721114,-0.10556938103760474,0.8872054465221366,95.78749675174768,-2.038409924728109,1.8272711626528992,0.0,0.0,model
calibration_auc_cohort_z,alignment,18,739,19611,0.12883863100221635,0.05096766546637621,0.6769256876061626,0.057745677837537694,0.2648260767954656,1.216231445859963,0.657442465772622,95.47126631218401,-0.21349201360884407,2.64595490532877,-0.03700061714191196,1.3373691879036278,96.97320154390918,-2.9420476550194756,2.8680464207356513,0.0,0.0,model
calibration_auc_cohort_rank,alignment,18,739,19611,0.13084960659567937,0.048761133325217476,0.6643264514316572,0.058529695301881506,0.26674945902136465,1.3054469727789684,0.6860870658410408,95.59271746674726,-0.18754904310285436,2.798442988660791,-0.25551106228053777,1.3289282337450359,96.69764378160068,-3.144069009595552,2.633046885034476,0.0,0.0,model
calibration_auc_rbf,nonlinear,18,739,19611,0.11235589879817771,0.08576845494475949,0.7192593661683486,0.04686473507696305,0.24639545710707395,1.1413184039432442,0.6160434645081433,94.1230473523902,-0.1998695363290628,2.482506344215551,-0.10594161925745374,0.9991874890313363,95.59897846207153,-2.2820582825642064,2.0701750440492988,0.0,0.0,model
calibration_auc_gbm,nonlinear,18,739,19611,0.11342735687685325,0.07530076220567028,0.7228299014754748,0.04113317939442964,0.27971542615912076,1.019161191175971,0.6233978815137315,95.13545012069447,-0.3370279746535505,2.375350357005493,0.009234832518013074,1.0085938862892267,95.87207790382242,-2.1864419284858627,2.2049115935218886,0.0,0.0,model
calibration_auc,primary,18,739,19611,0.09836484226836315,0.1095122922644507,0.747598549825761,0.03216018960699441,0.25440537708963884,1.0576649229806805,0.4427358944099879,79.39346913773551,0.08720492127376833,2.0281249246875928,-0.08716637508125144,0.7935857289103383,83.51424845749074,-1.8257935269211776,1.6514607767586746,0.0,0.0,quasibinomial
calibration_auc_ea_session,alignment,18,739,19611,0.0945824788635072,0.12406772195684246,0.7559741731228723,0.03224100289731487,0.23603391916917998,1.052900269117988,0.411671747784453,78.51684233526362,0.1500746942362574,1.9557258439997187,-0.07501885870064057,0.7866071101106644,84.3754580767046,-1.7972636909139272,1.647225973512646,0.0,0.0,quasibinomial
calibration_auc_ea_cohort,alignment,18,739,19611,0.09673492182363719,0.11395313354626169,0.7534393624200626,0.03342802571869361,0.2406032419144779,1.081612591924239,0.47558419362404586,82.27988801248304,0.04061778822736195,2.1226073956211158,-0.09881509429889998,0.8129261783406484,84.67283499978703,-1.8785129262561604,1.6808827376583606,0.0,0.0,quasibinomial
