held_out_study,n_records,n_selections,intercept,intercept_se,slope,slope_se,se_method,n_bootstrap_replicates,slope_ci_low,slope_ci_high,intercept_ci_low,intercept_ci_high
StudyA,39,1404,-2.1693741503058552,0.5431818156624735,1.9985966253595857,0.31796872138320853,cluster,,1.375389383238246,2.621803867480925,-3.233990946061378,-1.1047573545503326
StudyB,56,781,-0.1543831709607068,0.46660311309416397,1.5775557871487882,0.4521010148493718,cluster,,0.6914540806700112,2.463657493627565,-1.068908467699538,0.7601421257781242
StudyD,34,1230,0.38876469986737655,0.4665131157692549,0.838861898589682,0.19281026300353382,cluster,,0.46096072725306003,1.216763069926304,-0.5255842053559279,1.3031136050906809
StudyE,8,240,0.9504469080854956,0.5403202547858618,0.7824419795079876,0.290011204079258,cluster,,0.2140304643995462,1.350853494616429,-0.10856133141229929,2.0094551475832905
StudyF,89,1067,-0.9317512200739051,0.1303313202929587,1.4181210120436405,0.10849295987288883,cluster,,1.205478718116629,1.6307633059706519,-1.1871959139056585,-0.6763065262421517
StudyG,40,1198,-1.0294058862657214,0.45697268714436784,1.3986114092253006,0.22525043537088213,cluster,,0.9571286683964045,1.8400941500541967,-1.9250558949871721,-0.13375587754427065
StudyH,64,1926,1.7053010944494158,0.3368970410116288,0.18516677798939613,0.24176164064451458,cluster,,-0.2886773305171674,0.6590108864959596,1.0449950275685098,2.365607161330322
StudyI,26,948,-0.5035507545094049,0.5836060034951767,1.0435383608366,0.44575342450065514,cluster,,0.16987770282992176,1.9171990188432781,-1.6473975025213081,0.6402959935024983
StudyJ,40,1812,0.49091809047291324,0.3635664717447025,0.32638528712739523,0.1986194807371086,cluster,,-0.06290174174538465,0.7156723160001751,-0.22165910013300294,1.2034952810788293
StudyK,16,480,0.726534562984313,0.7658400801485916,0.4798229044810691,0.34341284819131246,cluster,,-0.19325390980222434,1.1528997187643626,-0.7744844120241949,2.227553537992821
StudyL,33,990,-1.0879613083808832,0.23125930873993486,1.7750998519648862,0.18464751274329272,cluster,,1.4131973771531317,2.1370023267766407,-1.5412212246007844,-0.634701392160982
StudyM,42,1260,0.47653333791328867,0.28351837370124383,0.8884824093937631,0.2085245267538385,cluster,,0.47978184706298066,1.2971829717245456,-0.07915246349651728,1.0322191393230946
StudyN,16,480,-0.6711960031669565,0.39016253646294013,1.1449856053576304,0.23659118655848407,cluster,,0.6812754006434046,1.6086958100718562,-1.4359005227511148,0.09350851641720181
StudyO,34,1187,0.504920226417173,0.6485799027578657,0.5827690750192174,0.2570443142676974,cluster,,0.07897147662373527,1.0865666734146995,-0.7662730240847342,1.7761134769190803
StudyQ,54,1944,-0.09440163075196029,0.21865107524731672,1.1077499918528582,0.13436722917566699,cluster,,0.8443950619661114,1.371104921739605,-0.5229498634176584,0.3341466019137378
StudyR,80,1440,1.2782657935073987,0.4814822623773354,0.7625630241599347,0.20603567909014045,cluster,,0.35874051361300713,1.1663855347068623,0.3345779000529566,2.221953686961841
StudyS1,20,360,1.9947449741619787,2.6432088725633895,1.311752522427733,0.7795950177105692,cluster,,-0.2162256348118481,2.8397306796673143,-3.1858492196789863,7.175339168002943
StudyS2,48,864,-2.022029432231135,1.3958363144817558,2.1846670079077977,0.49458687686708397,cluster,,1.2152945420221668,3.1540394737934285,-4.757818336928501,0.7137594724662311
StudyA,39,1404,-2.1693741503058552,0.24263397299304695,1.9985966253595857,0.14478948323641355,model,,1.7148144528760492,2.2823787978431223,-2.6449279987980914,-1.693820301813619
StudyB,56,781,-0.1543831709607068,0.23163139596221194,1.5775557871487882,0.17500665186943057,model,,1.2345490524297649,1.9205625218678115,-0.6083723647353787,0.2996060228139651
StudyD,34,1230,0.38876469986737655,0.3192217561761156,0.838861898589682,0.1526363566311215,model,,0.5397001368612724,1.1380236603180915,-0.23689844531943655,1.0144278450541897
StudyE,8,240,0.9504469080854956,0.6743227993678599,0.7824419795079876,0.36229767356429865,model,,0.07235158763931293,1.492532371376662,-0.37120149262973845,2.2720953088007296
StudyF,89,1067,-0.9317512200739051,0.1441400603536752,1.4181210120436405,0.0904579968654085,model,,1.2408265960738027,1.5954154280134782,-1.2142605470965382,-0.649241893051272
StudyG,40,1198,-1.0294058862657214,0.2915346671098958,1.3986114092253006,0.13744674987493738,model,,1.129220729678338,1.668002088772263,-1.6008033340459908,-0.4580084384854518
