held_out_study,n_development_records,n_development_selections,intercept_a,slope_b,development_mean_m,development_sd_d,max_reconstruction_error
StudyA,700,18207,2.0671895352204905,0.9765938169732054,0.8055299154650821,0.10819875868679228,6.661338147750939e-16
StudyB,683,18830,2.003027524367155,0.9687646865571669,0.8047613033464001,0.1068902020643171,3.3306690738754696e-16
StudyD,705,18381,2.0155286207990075,0.9933649140881307,0.8035398060740325,0.10794446550837758,2.220446049250313e-16
StudyE,731,19371,2.0208681664079875,0.9783096227211412,0.804487803609049,0.10656676093924355,2.220446049250313e-16
StudyF,650,18544,2.028090372080894,0.8990881387322718,0.8050771836311064,0.10197100228354758,1.2212453270876722e-15
StudyG,699,18413,2.0127129357369826,0.9851856731161934,0.8021774438418022,0.10761020602488149,3.3306690738754696e-16
StudyH,675,17685,2.0362020767192397,1.035664544551695,0.8088554904266085,0.10787529809807044,7.771561172376096e-16
StudyI,713,18663,2.0822839324499953,0.9493399665426852,0.8081652143440541,0.1057037286109809,6.661338147750939e-16
StudyJ,699,17799,2.1463053039710034,1.033345283445203,0.809417360194406,0.10474452078399421,6.661338147750939e-16
StudyK,723,19131,2.0624147298651083,1.000102291082476,0.807192806593644,0.1046951825828816,4.440892098500626e-16
StudyL,706,18621,2.0219080676824355,0.9637785474799334,0.8055119560042593,0.107302304847826,3.3306690738754696e-16
StudyM,697,18351,2.0491697248131286,0.9925458283269477,0.8086646614699343,0.10603972316160394,1.6653345369377348e-15
StudyN,723,19131,2.0458233559306325,0.9561348432891563,0.8057676757030015,0.1054847803715104,1.6653345369377348e-15
StudyO,705,18424,2.044197814313776,1.0219780660630442,0.8013782255708465,0.10704253954924832,2.220446049250313e-16
StudyQ,685,17667,2.053333623463163,0.9883460326303273,0.808417356521058,0.1081139289064779,1.2212453270876722e-15
StudyR,659,18171,1.9027995318671957,0.9544683063273911,0.7947140525495178,0.10653700341467866,2.220446049250313e-16
StudyS1,719,19251,1.980944207078747,0.9552643144137467,0.801048403463447,0.1052920346747733,2.220446049250313e-16
StudyS2,691,18747,1.939971744962913,0.9512661689471571,0.7980318927225438,0.10620844014849741,1.1102230246251565e-16
