term,StudyA_intercept,StudyB_intercept,StudyD_intercept,StudyE_intercept,StudyF_intercept,StudyG_intercept,StudyH_intercept,StudyI_intercept,StudyJ_intercept,StudyK_intercept,StudyL_intercept,StudyM_intercept,StudyN_intercept,StudyO_intercept,StudyQ_intercept,StudyR_intercept,StudyS1_intercept,StudyS2_intercept,StudyA_slope,StudyB_slope,StudyD_slope,StudyE_slope,StudyF_slope,StudyG_slope,StudyH_slope,StudyI_slope,StudyJ_slope,StudyK_slope,StudyL_slope,StudyM_slope,StudyN_slope,StudyO_slope,StudyQ_slope,StudyR_slope,StudyS1_slope,StudyS2_slope
StudyA_intercept,0.7026468507924805,0.07808493192720777,0.04823530268110668,0.05582784638408668,0.06501613388315008,0.06820522575616628,-0.004586664837805268,0.018545550852316094,-0.0715231879285615,-0.06610804248216551,0.10396691168239565,0.03980485646046491,0.04818121505810915,0.02739611867513432,0.05712902542464916,0.045462701094719414,0.10572701434421847,0.32685522116379845,-0.3647536786338297,-0.022154860532452216,-0.021247389186149167,-0.02695971778934882,-0.026598276898080763,-0.027052832335093955,-0.0004610099478773952,-0.0078390192385061,0.033108723490941246,0.015757591105438225,-0.041359807300161165,-0.014735192135148577,-0.010934421885948039,-0.009973904263597769,-0.024000562355327992,-0.0181344474438439,-0.04278534412168073,-0.1359713501783818
StudyB_intercept,0.07808493192720777,0.3239100462613754,0.02915239917356168,0.01719447479394749,0.044631809582354416,0.020481950885332563,-0.0069620551103748785,-0.019445574347906218,-0.04224977255738402,-0.08030545630405755,0.0664760564926226,0.016853032816912594,0.04178278132201035,0.03421866415489118,0.03507116457331493,0.023639584634932733,0.06640168954692224,0.11396098136407741,-0.03164441008465697,-0.25608985968210757,-0.014155353093460481,-0.004827433207553544,-0.017798154727858315,-0.009070926676293582,0.004222657258649713,0.021201610374433726,0.019789916126000597,0.04177965420290695,-0.028374754208682653,-0.007097382262613391,-0.015699811122982143,-0.014130140708771324,-0.014584150056923074,-0.010414519179412787,-0.02713017626246071,-0.04886119561410346
StudyD_intercept,0.04823530268110668,0.02915239917356168,0.6403896009901384,0.0070446936700199764,0.020099373292787333,0.014442378193110585,-0.008968599346614984,0.00890942917456078,-0.024023421099926712,-0.02018616881510625,0.0207971878799789,0.006915043252789925,0.010851046708031598,0.01604528883671473,0.0169132417822549,0.02349275056488496,0.018297749513305827,-0.05805227715830584,-0.02448321062613574,-0.020242138902894422,-0.25701559525695344,-0.005450377667503146,-0.011797267987690485,-0.008770902081613212,0.0046030182481326615,-0.008036119170063236,0.008028861686069649,-0.028367973630760532,-0.01259264370900946,-0.004548764084507602,-0.005337019308507703,-0.006535684224852036,-0.009813203587664089,-0.01005848200083638,-0.011011204596127805,0.011056722477703245
StudyE_intercept,0.05582784638408668,0.01719447479394749,0.0070446936700199764,0.677187859646855,0.02601714507475016,0.019538686224523687,-0.008826441866076605,0.014980830423908999,-0.02404888143778326,-0.029491483302336887,0.02940599810459944,-2.074749441256327e-05,0.015573443148110993,0.015002169244150295,0.01770826890544666,0.00026997841434444795,-0.03977559819412707,0.10124350624372265,-0.024851310439365816,-0.004265262989686067,-7.880412832972684e-05,-0.3460040488976262,-0.010234408092201623,-0.011222505083534227,0.0067279651573602635,-0.013254123241171166,0.008680163895860613,-0.004893223897121353,-0.010063333557342713,-0.0006243383835884763,-0.010119261164473063,-0.006198907337765769,-0.007947887851183551,-0.004290985063186995,0.010542367633732338,-0.039530738958508185
StudyF_intercept,0.06501613388315008,0.044631809582354416,0.020099373292787333,0.02601714507475016,0.15171698356508295,0.015655589334495554,-0.012101843098244901,-0.015785792889706298,-0.047838183577017045,-0.06046095545914144,0.05375218006219057,0.013585859440816132,0.021752635855348958,0.01312451507697577,0.03036205362894646,0.02345589460947326,0.028124947318999987,0.1135136604960502,-0.027812412813850225,-0.014984937372936947,-0.010217129917760756,-0.014034377185086587,-0.0717486696566069,-0.006356726656984813,0.007161533938792517,0.011979415808652921,0.0206358045532357,0.022466153709821864,-0.024130794341038937,-0.00319378455039819,-0.006838067871715195,-0.005016800085110233,-0.01313341486145505,-0.010603401286270664,-0.010073663701926317,-0.04853255813776727
StudyG_intercept,0.06820522575616628,0.020481950885332563,0.014442378193110585,0.019538686224523687,0.015655589334495554,0.5212048741292737,0.003669216599069262,-0.0080721278538413,-0.048859318093659614,-0.04796391186017805,0.04683599592169701,0.014386589431392587,0.016606232004445207,0.006301102903019126,0.010120497928995598,0.01061851078344235,0.004767367766466878,0.09012913641133816,-0.0338239335805608,0.0013733982759732409,-0.007392766027582091,-0.005833404849966994,-0.00411262113081355,-0.21955806747084444,-0.004864483763791959,0.006697412979297246,0.02233848764995747,0.01635209489715258,-0.02409489233455522,-0.005144733148865125,-0.006767008770758598,-0.0025967488478250383,-0.004096432056342599,-0.005731581812139954,-0.0069465423168497695,-0.03952878928561577
StudyH_intercept,-0.004586664837805268,-0.0069620551103748785,-0.008968599346614984,-0.008826441866076605,-0.012101843098244901,0.003669216599069262,0.15287975278360083,-0.02604524622271008,-0.012533543859634054,-0.01499532512527302,-0.007305775489092205,-0.0013621976915885292,-0.005517374130839458,-0.0008958868729575105,-0.007957830676810333,-0.0047185158189943545,-0.018315622004240507,0.003215362839470477,0.002686126754862239,0.0028046201091147843,0.004899262095740549,0.003813804723497599,0.006203001382705777,-0.0016487057157114375,-0.09712316353278072,0.018247009143445913,0.006136861680611891,0.009988969202842727,0.002444489670387197,-0.0015817204743821679,0.004081217133032173,0.0008549905789885636,0.003948833247019647,0.002701740635816575,0.0063672633191497515,-0.0005734807268143714
StudyI_intercept,0.018545550852316094,-0.019445574347906218,0.00890942917456078,0.014980830423908999,-0.015785792889706298,-0.0080721278538413,-0.02604524622271008,0.49596833715264044,-0.03858235541828748,-0.04755054380802808,-0.006922108856939318,-0.009651232504979262,-0.0036840390271236515,-0.010508893775418054,-0.008122248517794656,0.011926304955325128,-0.015706120648811838,-0.0304906816480773,-0.013133395562539759,0.014743553881155794,-0.003951237559760423,-0.0066424949364363075,0.007681578942626005,0.0033413303437861467,0.015095818725858886,-0.3708235370686145,0.01690396677056682,0.018333034494673592,0.004622428655371839,0.005494436621048798,-0.0028804175490474374,0.0058965579160280245,0.0023108266824787213,-0.0049655275999734615,-0.00015321834446292143,0.00812900717307292
StudyJ_intercept,-0.0715231879285615,-0.04224977255738402,-0.024023421099926712,-0.02404888143778326,-0.047838183577017045,-0.048859318093659614,-0.012533543859634054,-0.03858235541828748,0.15590924550479274,-0.04833482840290988,-0.0517878002775029,-0.03415650491776128,-0.040748871136022644,-0.017583624341972994,-0.034314325764689325,-0.026480145811862855,-0.04545739839534514,-0.06061942587949509,0.030132423923884096,0.014889586373447066,0.010635343186804536,0.011953011737767933,0.02171035241179358,0.022332901559877813,0.0067847462859840215,0.014412267473439459,-0.07662069343660782,0.03454894873564433,0.02242804327551559,0.013658724630815893,0.021467542666966453,0.007488665471876243,0.015559601224027945,0.013389623028180015,0.017110867080661517,0.028372058168566996
StudyK_intercept,-0.06610804248216551,-0.08030545630405755,-0.02018616881510625,-0.029491483302336887,-0.06046095545914144,-0.04796391186017805,-0.01499532512527302,-0.04755054380802808,-0.04833482840290988,0.6866726853715637,-0.06554936668996829,-0.042109932141797535,-0.0646870361486406,-0.019535857405709442,-0.04275777575695245,-0.04448822816830098,-0.036290623317677434,-0.12512254777274115,0.036049554561408605,0.047122132900926296,0.015312802277552773,0.01629254798998107,0.03455959943894964,0.02831749505951537,0.007413265935307373,0.018415524186668027,0.025789163239187035,-0.49254763461353673,0.0334308197538721,0.022638775874180214,0.03873773171639836,0.011106373274623306,0.023370433464881716,0.02433108844632883,0.026976152308283666,0.07540952552126352
