study,n_sessions,median_train_files,median_folds,median_calibration_epochs,median_target_epochs,median_calibration_auc,auc_standard_error,auc_standard_error_mean,auc_standard_error_median
StudyA,13,15.0,5.0,12910.0,1222.0,0.7934403846299629,0.007789352360579628,0.0077443123667969,0.007860878322583314
StudyB,56,5.0,5.0,3778.0,420.0,0.8142821467937241,0.012680974784636583,0.012425222975025112,0.012792084606559007
StudyD,17,6.0,5.0,6116.0,719.0,0.8343417405811427,0.00952126625865454,0.00943959818353097,0.009544261680609472
StudyE,8,6.0,5.0,4305.5,360.0,0.813790525753836,0.013379235371180897,0.012953131787296096,0.014007138820521473
StudyF,30,3.0,3.0,2268.0,252.0,0.8453209529525797,0.015856629845297846,0.015349320228023771,0.015714918925458357
StudyG,20,6.0,5.0,4319.5,360.0,0.8673329467728146,0.012678258420094337,0.012488974635275209,0.012329899840131851
StudyH,16,3.0,3.0,1544.5,124.5,0.7526513451254377,0.030864577395552328,0.028057253808034983,0.02478952812796059
StudyI,13,8.0,5.0,5483.0,940.0,0.6907498610242512,0.01483980416792629,0.013500325021088331,0.010394503568696752
StudyJ,20,10.0,5.0,3019.5,661.0,0.7014698230174734,0.02306494674582482,0.018272789502751872,0.011448947788339605
StudyK,8,6.0,5.0,1479.0,155.5,0.6371049334549879,0.026187302495375583,0.023687945492900566,0.023361352657564144
StudyL,11,15.0,5.0,10079.0,1260.0,0.7696142167794282,0.007666885031867243,0.007597755256342296,0.008060449830505958
StudyM,21,10.0,5.0,6132.0,948.0,0.752324575668871,0.011789367026194611,0.011227203653683186,0.009803536977581517
StudyN,16,5.0,5.0,3512.5,390.0,0.7404290156247995,0.02102096640532218,0.017592088315661645,0.01526551348749862
StudyO,34,5.0,5.0,4316.5,360.0,0.8666578984287316,0.012048447009048786,0.011716818496791548,0.012349158607154052
StudyQ,53,5.0,5.0,4308.0,359.0,0.7591884118967454,0.014919591882756543,0.014863333779709605,0.014959422881236384
StudyR,40,6.0,5.0,6026.5,503.0,0.9018398218299314,0.009605637406984184,0.009402934674835743,0.009223361093219128
StudyS1,10,6.0,5.0,4319.5,360.0,0.959591265631959,0.008898701511613694,0.008434119593453287,0.007289452988912542
StudyS2,24,6.0,5.0,4319.5,360.0,0.8996249447529179,0.010812345580203326,0.010590946093605093,0.011068569553642844
