study,n_conditions,condition_list,n_records,mean_accuracy,accuracy_sd,fraction_at_ceiling,median_selections_per_record,median_inter_selection_interval,constant_within_file_interval,max_target_index,n_distinct_targets,grid_size,has_checkerboard_paradigm
StudyA,3,"CB,RC,RD",39,0.7863247863247863,0.21536890602408532,0.20512820512820512,36.0,18.499993274255857,True,36.0,25,72,True
StudyB,1,CB,56,0.8993666432090077,0.18153010354146337,0.625,14.0,49.999984180344086,True,26.0,26,36,True
StudyD,2,"Dyn,DynBigram",34,0.8962418300653594,0.09028491904658809,0.058823529411764705,36.0,9.5,False,37.0,34,72,False
StudyE,1,CB,8,0.9208333333333334,0.06156039749451378,0.125,30.0,10.0625,False,25.0,22,72,True
StudyF,3,"Dyn,DynBigram,Static",89,0.7783452502553625,0.2798618374922213,0.3707865168539326,12.0,27.25,False,25.0,23,72,True
StudyG,2,"DynBigram,DynNgram",40,0.8857142857142858,0.14670043852652861,0.25,30.0,8.4375,False,26.0,26,72,True
StudyH,4,"CBGaze01,CBGaze10,CBGazeNo,CBGazeReal",64,0.8769041218637993,0.14578315101538905,0.203125,30.0,7.25,False,26.0,25,72,True
StudyI,2,"CB,PB",26,0.6575091575091575,0.2461335407201427,0.0,36.0,13.25,False,25.0,24,72,True
StudyJ,2,"PB,RC",40,0.7078125,0.20857931525303391,0.0,48.0,9.125,False,25.0,25,36,False
StudyK,2,"AD,CB",16,0.75,0.24343224778007386,0.0625,30.0,10.8125,False,25.0,23,72,True
StudyL,3,"CB,CBCol,RC",33,0.8393939393939394,0.19174899417644092,0.30303030303030304,30.0,34.99999197362763,True,36.0,32,36,True
StudyM,2,"ADdiff,CB",42,0.8230158730158731,0.1668272551930155,0.11904761904761904,30.0,10.625,False,37.0,33,72,True
StudyN,2,"Dry,Wet",16,0.69375,0.29090376415577707,0.0625,30.0,16.5,False,25.0,22,36,True
StudyO,2,"CBP,SUP",34,0.8835200746965453,0.09310933772751538,0.08823529411764706,36.0,11.0,True,54.0,25,72,True
StudyQ,3,"ColorIntensification,Grey-to-Color,Grey-to-White",54,0.8204732510288066,0.12384017747688078,0.018518518518518517,36.0,16.99999330873309,True,36.0,25,72,True
StudyR,4,"CrystalizeLarge,CrystalizeSmall,EinsteinLarge,EinsteinSmall",80,0.9631944444444445,0.059260266488158304,0.6375,18.0,17.499992258777993,True,25.0,24,72,True
StudyS1,2,"Face,House",20,0.9972222222222221,0.012422599874998821,0.95,18.0,26.49999206735268,True,36.0,24,72,True
StudyS2,2,"House,Tool",48,0.9756944444444445,0.056033698911562,0.7291666666666666,18.0,26.49999206735268,True,25.0,18,72,True
