held_out_study,n_local_participants,n_local_selections,n_evaluation_participants,draw,method,identified,mean_absolute_error,transported_mean_absolute_error
StudyA,1,108,12,0,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,1,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,2,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,3,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,4,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,5,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,6,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,7,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,8,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,9,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,10,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,11,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,12,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,13,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,14,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,15,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,16,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,17,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,18,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,19,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,20,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,21,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,22,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,23,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,24,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,25,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,26,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,27,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,28,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,29,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,30,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,31,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,32,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,33,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,34,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,35,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,36,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,37,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,38,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,39,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,40,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,41,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,42,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,43,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,44,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,45,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,46,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,47,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,48,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,49,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,50,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,51,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,52,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,53,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,54,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,55,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,56,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,57,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,58,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,59,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,60,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,61,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,62,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,63,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,64,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,65,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,66,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,67,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,68,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,69,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,70,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,71,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,72,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,73,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,74,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,75,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,76,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,77,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,78,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,79,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,80,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,81,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,82,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,83,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,84,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,85,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,86,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,87,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,88,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,89,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,90,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,91,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,92,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,93,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,94,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,95,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,96,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,97,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,98,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,99,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,100,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,101,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,102,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,103,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,104,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,105,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,106,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,107,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,108,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,109,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,110,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,111,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,112,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,113,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,114,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,115,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,116,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,117,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,118,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,119,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,120,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,121,intercept_only,True,0.14001601038000633,0.1251870104760225
StudyA,1,108,12,122,intercept_only,True,0.17280840382911616,0.11840375528339307
StudyA,1,108,12,123,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,1,108,12,124,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,125,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,126,intercept_only,False,,0.13252317976996797
StudyA,1,108,12,127,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,128,intercept_only,True,0.13138772977719398,0.13337893655134714
