method,n_local_participants,n_draws,identified_fraction,n_cohorts,median_local_selections,transported_mae,recalibrated_mae,mean_improvement,improvement_low,improvement_high,win_fraction,cohort_mean_improvement,cohort_improvement_ci_low,cohort_improvement_ci_high,n_cohorts_contributing,mae_minimum_detectable_effect,mae_minimum_detectable_effect_80,calibration_identified_fraction,n_cohorts_calibration,transported_calibration_intercept_mean,transported_calibration_intercept_median,transported_calibration_intercept_ci_low,transported_calibration_intercept_ci_high,recalibrated_calibration_intercept_mean,recalibrated_calibration_intercept_median,recalibrated_calibration_intercept_ci_low,recalibrated_calibration_intercept_ci_high,transported_calibration_slope_mean,transported_calibration_slope_median,transported_calibration_slope_ci_low,transported_calibration_slope_ci_high,recalibrated_calibration_slope_mean,recalibrated_calibration_slope_median,recalibrated_calibration_slope_ci_low,recalibrated_calibration_slope_ci_high,recalibrated_slope_out_of_range_fraction,recalibrated_slope_negative_fraction,cohort_mean_intercept_improvement,cohort_intercept_improvement_ci_low,cohort_intercept_improvement_ci_high,intercept_minimum_detectable_effect,intercept_minimum_detectable_effect_80,cohort_mean_slope_improvement,cohort_slope_improvement_ci_low,cohort_slope_improvement_ci_high,slope_minimum_detectable_effect,slope_minimum_detectable_effect_80
intercept_and_slope,2,3600,0.81,18,144.0,0.10854889207836832,0.1772723418507436,-0.06872344977237532,-0.46022658956660256,0.040789243796506655,0.2764060356652949,-0.06741894763776408,-0.08970765656264709,-0.04513023871288108,17,0.022288708924883008,0.03137982781925677,0.7788888888888889,17,-0.24757072966724003,0.08712972984623132,-0.9381654623312198,0.4430240029967397,0.5832064780454621,0.7076747417690801,-0.2878020693542922,1.4542150254452164,1.1599764783731525,0.9710927873267047,0.8163210077574197,1.5036319489888854,0.6762927115255141,0.4702236112408818,0.22024619631241354,1.1323392267386145,0.27781740370898717,0.22146932952924395,-2.064399662827107,-3.006647473358204,-1.1221518522960099,0.942247810531097,1.326571860092282,-0.9435742927676333,-1.3460865815515555,-0.5410620039837111,0.4025122887839222,0.5666890065163671
intercept_and_slope,3,3400,0.8970588235294118,17,216.0,0.10112308464793324,0.12582325789983081,-0.024700173251897578,-0.22378592408727263,0.04489429202454304,0.43540983606557376,-0.021850244175005168,-0.03625850193832219,-0.0074419864116881465,17,0.014408257763317021,0.020285098132516933,0.8894117647058823,16,-0.2655271212644924,-0.02243461919393657,-0.9409671303007133,0.4099128877717285,-0.6620740580240854,0.45927422348932323,-2.053318551112021,0.7291704350638504,1.172589214784437,1.0300977165345615,0.8287104852013414,1.5164679443675326,1.1706345472724562,0.7008998422146462,0.5737224140060757,1.7675466805388367,0.20072751322751323,0.1498015873015873,-3.1224122669486993,-5.100341960042067,-1.1444825738553313,1.977929693093368,2.7817824784170693,-1.4791280950587873,-2.3534704074819155,-0.6047857826356592,0.8743423124231281,1.2296848231412378
intercept_and_slope,4,3400,0.9194117647058824,17,288.0,0.10018357183401112,0.11086455230530894,-0.010680980471297834,-0.1402104560746228,0.045615197832619976,0.5035188739603327,-0.008395628515682802,-0.021030863802081946,0.004239606770716341,17,0.012635235286399144,0.01778889522400113,0.91,16,-0.2884500046910287,-0.05503807020868071,-0.9642339068622792,0.3873338974802217,0.9238119099224311,0.2971557037351188,-0.6813856508052871,2.5290094706501494,1.1852505038259071,1.046290215734658,0.8386541103022699,1.5318468973495443,0.5988757959798742,0.7927114377877256,-0.012435144042123869,1.210186736001872,0.17032967032967034,0.11085972850678733,-2.390155557813233,-4.161911362100589,-0.6183997535258761,1.771755804287357,2.491817211506747,-1.0154420013421173,-1.7070540357722161,-0.32382996691201826,0.691612034430099,0.9726909131088181
intercept_and_slope,6,3000,0.9476666666666667,15,432.0,0.09895961950155092,0.09829788437922345,0.0006617351223274637,-0.08108058802262832,0.048084924063805885,0.5905733380232149,0.0018430524804234896,-0.00897238068712956,0.012658485647976538,15,0.010815433167553047,0.015192739558252235,0.923,14,-0.32200543171894547,-0.05837606173094745,-1.0880021308580956,0.44399126742020467,0.10230987430315609,0.17515712816518855,-0.37027156662655014,0.5748913152328623,1.2119487621945348,1.0713339765677343,0.8089374242948245,1.6149601000942453,0.9356804441396038,0.8974204159920145,0.6294236248804368,1.2419372633987709,0.14265077645359336,0.08450704225352113,-1.916300039079165,-3.6012143826559835,-0.23138569550234633,1.6849143435768186,2.3635627753073862,-0.8670553711475033,-1.6733475439505225,-0.06076319834448396,0.8062921728030193,1.1310498797306021
intercept_and_slope,8,2600,0.9961538461538462,13,576.0,0.10029236817424989,0.09782286534465133,0.0024695028295985562,-0.06985553031445313,0.05132706387845864,0.5714285714285714,0.0024436210062324837,-0.008982714713383811,0.013869956725848778,13,0.011426335719616295,0.01600255566011731,0.9915384615384616,13,-0.4073598072345519,0.027830116651018092,-1.3731896746022139,0.5584700601331101,7.828181624708194,0.1612214491371922,-9.495565132511416,25.151928381927803,1.2594362192860824,1.0437209410719748,0.7688273319966896,1.7500451065754752,-3.029994489535713,0.9119373808873629,-12.064307930400352,6.004318951328925,0.1470131885182312,0.07020946470131885,-9.061977777611336,-26.70823499785394,8.584279442631267,17.646257220242603,24.713540743852917,-4.660707428213657,-13.87569863975083,4.554283783323516,9.214991211537173,12.905573001584047
intercept_and_slope,12,2000,0.9995,10,864.0,0.09210463296757143,0.08533350121397416,0.006771131753597258,-0.047385847674343125,0.06439332825890948,0.6123061530765382,0.006769741712042962,-0.004937238161504626,0.01847672158559055,10,0.011706979873547588,0.01627871846697058,0.9995,10,-0.08595966605371545,0.2290364242426891,-1.3604891828402201,1.1885698507327893,1.479088297268909,0.042941840683095256,-3.40383698865198,6.362013583189798,1.1124681617966288,0.9657594593460765,0.4684034252968934,1.7565328982963642,0.34780769320446614,0.9740341185286031,-2.110650775055001,2.8062661614639337,0.19909954977488745,0.10805402701350675,-4.202702751248096,-12.185844750732711,3.780439248236519,7.983141999484615,11.10067006992112,-2.1513152916627725,-6.264710700442276,1.9620801171167308,4.113395408779503,5.719733571435589
intercept_and_slope,14,1800,1.0,9,971.0,0.08643151859691817,0.082119158692005,0.00431235990491316,-0.050584733028205736,0.042277302585188664,0.6,0.004312359904913161,-0.005326854483260499,0.01395157429308682,9,0.00963921438817366,0.0133548177118416,0.9927777777777778,9,-0.285911917798795,0.077175136588374,-1.5604834243603702,0.9886595887627803,-0.5250341424387939,0.022512245280153165,-0.937972529423712,-0.11209575545387573,1.250095165274337,1.042800060741579,0.600190781551709,1.899999548996965,1.303048603335292,1.0183915907388272,1.070155632506833,1.5359415741637508,0.16955791829882486,0.09345271404588697,-0.42211602516021635,-1.0945961500670995,0.2503640997466669,0.6724801249068832,0.9316993191879297,-0.19279705985685944,-0.8587334489128977,0.4731393291991788,0.6659363890560382,0.9226331862103607
intercept_and_slope,16,1200,1.0,6,1056.0,0.08878113246891575,0.08620038281246965,0.0025807496564460956,-0.051113699783537074,0.040621409847404255,0.5983333333333334,0.002580749656446096,-0.005270024824626162,0.010431524137518354,6,0.007850774481072258,0.010659139009313935,0.9883333333333333,6,-1.0040280200977216,-0.061440702172090675,-3.7472879996801813,1.739231959484738,-1.0492303206390146,-0.23652102195908314,-2.280870797470808,0.1824101561927789,1.4770171338290803,1.1323763871207104,0.21504989201660818,2.7389843756415524,1.471382713952414,1.1015639903679744,1.028577276150824,1.914188151754004,0.21585160202360876,0.08853288364249579,-0.18701944660712347,-1.6222855359270814,1.2482466427128343,1.4352660893199578,1.9486868204277248,-0.08782476070914898,-1.2994869119078132,1.1238373904895154,1.2116621511986643,1.6450956950921043
intercept_only,1,3600,0.8419444444444445,18,72.0,0.10704931578595636,0.12702305030580732,-0.019973734519850964,-0.1559792979045918,0.04361423109330588,0.33619267568459255,-0.015941776304870505,-0.02792654211271282,-0.00395701049702819,18,0.011984765807842315,0.016888605252059822,0.8394444444444444,17,-0.17685424579928438,-0.03694146390184591,-0.7711209418951885,0.41741245029661983,-0.37551662036818945,0.12336879902119069,-1.037975739428934,0.28694249869255517,1.121634511979997,0.9676076792553195,0.8152463397201112,1.4280226842398829,1.1216345119799969,0.9676076792553189,0.8152463397201113,1.4280226842398824,0.0029781601588352085,0.0,-0.2735415073305917,-0.5707641838370052,0.023681169175821914,0.2972226765064136,0.41845386577494953,2.738937717860884e-16,-2.7807833427747015e-16,8.258658778496469e-16,5.519721060635585e-16,7.771104960669192e-16
intercept_only,2,3600,0.9277777777777778,18,144.0,0.10443059577845228,0.1129735995366103,-0.00854300375815804,-0.09807922482745264,0.04071857004249821,0.4535928143712575,-0.0061624250725276905,-0.01793859173965295,0.0056137415945975684,18,0.011776166667125259,0.01659465302971569,0.9177777777777778,17,-0.17575739473252922,-0.050356306214802804,-0.7791962487197936,0.42768145925473516,-0.41654243091323123,-0.039116697719033096,-1.1689024300144253,0.3358175681879629,1.127087036757734,1.0357904964097,0.8207777553074012,1.4333963182080667,1.127087036757734,1.0357904964097,0.8207777553074012,1.4333963182080667,0.008777239709443099,0.0036319612590799033,-0.2237653015286995,-0.5784434214900419,0.1309128184326429,0.3546781199613424,0.49934423627469227,-1.300650903364206e-16,-4.3737377034806067e-16,1.7724358967521942e-16,3.0730868001164004e-16,4.3265374852477943e-16
