method,n_local_participants,n_draws,identified_fraction,n_cohorts,median_local_selections,transported_mae,recalibrated_mae,mean_improvement,improvement_low,improvement_high,win_fraction,cohort_mean_improvement,cohort_improvement_ci_low,cohort_improvement_ci_high,n_cohorts_contributing,calibration_identified_fraction,n_cohorts_calibration,transported_calibration_intercept_mean,transported_calibration_intercept_ci_low,transported_calibration_intercept_ci_high,recalibrated_calibration_intercept_mean,recalibrated_calibration_intercept_ci_low,recalibrated_calibration_intercept_ci_high,transported_calibration_slope_mean,transported_calibration_slope_ci_low,transported_calibration_slope_ci_high,recalibrated_calibration_slope_mean,recalibrated_calibration_slope_ci_low,recalibrated_calibration_slope_ci_high,cohort_mean_intercept_improvement,cohort_intercept_improvement_ci_low,cohort_intercept_improvement_ci_high,cohort_mean_slope_improvement,cohort_slope_improvement_ci_low,cohort_slope_improvement_ci_high
intercept_and_slope,2,1200,0.795,6,120.0,0.0994497747698642,0.17301990922681568,-0.0735701344569515,-0.4355868123003304,0.01860318064514913,0.17819706498951782,-0.07296203741985269,-0.11082196087328545,-0.03510211396641992,6,0.7633333333333333,6,-0.4443792513990026,-2.3239117795046056,1.4351532767066004,0.5285953056956804,-0.5265951640021734,1.583785775393534,1.2340459523544975,0.3067947828160785,2.1612971218929165,0.6878609544554463,0.11351456526412251,1.26220734364677,-2.197467943053676,-3.8850265758633458,-0.5099093102440064,-0.8441280357954529,-1.441477627838191,-0.24677844375271496
intercept_and_slope,3,1200,0.8941666666666667,6,180.0,0.0946150723963963,0.12533004384114044,-0.030714971444744135,-0.23821238469912218,0.020546345103537443,0.3271202236719478,-0.029476062698098226,-0.0525867758261286,-0.00636534957006785,6,0.8908333333333334,6,-0.34060122629348993,-1.9988617320794158,1.317659279492436,-0.5358709925712956,-2.3018985947859427,1.2301566096433514,1.1904385153958328,0.3435363430553494,2.0373406877363163,1.2813958742731233,0.17063582740031835,2.3921559211459282,-3.3727441038532198,-5.700294132322469,-1.045194075383971,-1.6085238613723265,-3.1354769276426877,-0.08157079510196508
intercept_and_slope,4,1200,0.9241666666666667,6,246.0,0.0930822919633516,0.11309454688767848,-0.020012254924326872,-0.15885454726775985,0.02193238695335715,0.36158701532912535,-0.018583317141902485,-0.04127938469447458,0.004112750410669604,6,0.9233333333333333,6,-0.33709172234212986,-1.995919510621253,1.3217360659369932,0.494737450424362,-0.7488606468686663,1.7383355477173903,1.190548414112164,0.3465420937238429,2.0345547345004853,0.6584854753721722,0.0010264827073758198,1.3159444680369685,-2.270394956713608,-4.017318499241253,-0.5234714141859627,-0.9851409831072445,-2.0739268612585167,0.10364489504402774
intercept_and_slope,6,1200,0.9741666666666666,6,396.0,0.09080199959612878,0.09876383411607277,-0.007961834519944002,-0.11348278961720486,0.022649235361931974,0.47647562018819506,-0.007895264359342884,-0.020000950029671682,0.004210421310985913,6,0.9741666666666666,6,-0.31693375132258644,-1.957840079900374,1.323972577255201,0.4561611225965785,-0.5144603792343221,1.426782624427479,1.1823329678561239,0.3493519931191138,2.015313942593134,0.7071116540910974,-0.04428826004497488,1.4585115682271699,-1.5492622782796672,-2.982860959409562,-0.11566359714977259,-0.7276438714642578,-1.8722160042086626,0.41692826128014715
intercept_and_slope,8,1200,0.9916666666666667,6,528.0,0.09030662626125499,0.09373088078486695,-0.003424254523611948,-0.07134678573528273,0.02263922888599537,0.5260504201680672,-0.003431217162961684,-0.013448575925983119,0.00658614160005975,6,0.9916666666666667,6,-0.43240587486606247,-2.3700874697065304,1.5052757199744056,-0.5548979644416764,-1.0524655674421437,-0.05733036144120912,1.2294087483591096,0.2800036143179936,2.1788138824002257,1.2465099937813562,1.1265891744232313,1.3664308131394811,-0.8081796905424486,-1.7701050225793002,0.15374564149440295,-0.41293597408486377,-1.4481975118254542,0.6223255636557268
intercept_and_slope,12,1200,0.9991666666666666,6,792.0,0.08998613055171498,0.08903567022195953,0.0009504603297554224,-0.05507926772711369,0.025131824165301134,0.5788156797331109,0.0009529941533514656,-0.0070288951388946305,0.008934883445597562,6,0.9991666666666666,6,-0.6179463377964632,-2.834461680398628,1.5985690048057015,-0.9123731557730794,-1.8897652879656843,0.06501897641952536,1.3072608062573314,0.23817324537472917,2.3763483671399337,1.5557448111130288,0.6830918800827074,2.4283977421433502,-0.4228560198662792,-1.6934083482470381,0.8476963085144797,-0.31298484847143493,-1.648551291598698,1.0225815946558279
intercept_and_slope,14,1200,1.0,6,924.0,0.09061340213198969,0.08898134724571435,0.0016320548862753372,-0.05991033740525159,0.028565456187246444,0.59,0.001632054886275337,-0.0062131573586151154,0.00947726713116579,6,0.9958333333333333,6,-0.5671563487854199,-2.6576482617559947,1.523335564185155,-0.5937185101815549,-1.2173825476567783,0.029945527293668617,1.29215625873329,0.28753042347496227,2.2967820939916175,1.306258852806024,0.9535186033322663,1.6589991022797816,-0.26823103564433654,-1.3291845690165245,0.7927224977278515,-0.18947226112439383,-1.2862171318358429,0.9072726095870552
intercept_and_slope,16,1200,1.0,6,1056.0,0.08878113246891575,0.08620038281246965,0.0025807496564460956,-0.051113699783537074,0.040621409847404255,0.5983333333333334,0.002580749656446096,-0.005270024824626162,0.010431524137518354,6,0.9883333333333333,6,-1.0040280200977216,-3.7472879996801813,1.739231959484738,-1.0492303206390146,-2.280870797470808,0.1824101561927789,1.4770171338290803,0.21504989201660818,2.7389843756415524,1.471382713952414,1.028577276150824,1.914188151754004,-0.18701944660712347,-1.6222855359270814,1.2482466427128343,-0.08782476070914898,-1.2994869119078132,1.1238373904895154
intercept_only,1,1200,0.8333333333333334,6,60.0,0.09692304485038375,0.11178106223704862,-0.01485801738666487,-0.09637550801127995,0.020309764602161322,0.321,-0.011788580053444268,-0.03162991238796652,0.008052752281077985,6,0.8333333333333334,6,-0.24650402564873972,-1.6689629020095338,1.1759548507120545,-0.7003681611148926,-2.6248882588986753,1.2241519366688902,1.1527279660466925,0.4112699092321612,1.8941860228612237,1.1527279660466927,0.411269909232162,1.8941860228612235,-0.37499622287177475,-1.1581716229465115,0.4081791772029621,4.192946927190752e-16,-5.110362080359223e-16,1.3496255934740728e-15
intercept_only,2,1200,0.94,6,120.0,0.09256959648972791,0.09747915120217296,-0.004909554712445052,-0.06080242576861011,0.02140815206098877,0.44680851063829785,-0.003793840682613481,-0.020207640361223828,0.012619958995996864,6,0.94,6,-0.2555788805123294,-1.7199072840667973,1.2087495230421386,-0.8207914108804744,-3.0844277985855113,1.4428449768245626,1.1549644816993678,0.3998742637777266,1.910054699621009,1.1549644816993678,0.39987426377772706,1.9100546996210086,-0.40564382187823006,-1.4497104788195763,0.638422835063116,6.015844906568339e-18,-5.888990879036712e-16,6.009307777168078e-16
intercept_only,3,1200,0.9675,6,180.0,0.09138626800253388,0.09303609853265543,-0.0016498305301215514,-0.052004099398119674,0.021421465309460104,0.4763135228251507,-0.0011651050552976161,-0.015118947954414028,0.012788737843818794,6,0.9675,6,-0.28215479276821986,-1.81585164355939,1.2515420580229506,-0.8741090735008735,-3.2626730393981767,1.5144548923964294,1.1641987656269668,0.3734568694726952,1.9549406617812384,1.1641987656269668,0.37345686947269485,1.9549406617812388,-0.3925860730704576,-1.5065206608632848,0.7213485147223697,-1.1079062850834291e-16,-3.504823275946698e-16,1.2890107057798398e-16
intercept_only,4,1200,0.9825,6,246.0,0.09047147487494936,0.09098671563732882,-0.0005152407623794545,-0.04664092868164495,0.02098618902794807,0.4944868532654792,-0.00023591005235035328,-0.014380398399493594,0.013908578294792886,6,0.9825,6,-0.28009227822199473,-1.8132918444036943,1.2531072879597047,-0.9021565342428004,-3.428475928664058,1.624162860178457,1.1647677534324108,0.3789575715575815,1.95057793530724,1.1647677534324108,0.3789575715575817,1.9505779353072399,-0.428543019991896,-1.6861386596835901,0.829052619699798,1.2048223741754802e-16,-1.0295469337303108e-16,3.4391916820812713e-16
intercept_only,6,1200,0.9975,6,396.0,0.08983631348651358,0.08727930214268564,0.00255701134382794,-0.03170610819212065,0.02104189730142374,0.5789473684210527,0.0025941971025706606,-0.010005376548356645,0.015193770753497968,6,0.9975,6,-0.28446540425554107,-1.8513051494344477,1.2823743409233657,-0.8796368022034021,-3.4582663330867334,1.6989927286799293,1.1687805608496258,0.3671243276563171,1.9704367940429344,1.1687805608496262,0.3671243276563164,1.9704367940429361,-0.40033383687182506,-1.6611882081943161,0.8605205344506661,-4.741121952638685e-16,-1.6943116810964317e-15,7.460872905686946e-16
intercept_only,8,1200,1.0,6,528.0,0.089965067232915,0.08715633963092403,0.002808727601990974,-0.036572695207872125,0.020342126610864014,0.5908333333333333,0.002808727601990973,-0.010295487899692965,0.01591294310367491,6,1.0,6,-0.4173527313912371,-2.3191420631673965,1.4844366003849223,-1.047561004563684,-4.114970002646738,2.0198479935193703,1.2230528248630372,0.28881890542154864,2.1572867443045256,1.2230528248630377,0.288818905421548,2.1572867443045274,-0.45987322900565003,-1.8272113336653022,0.9074648756540022,-5.529835848487134e-16,-1.790962666743621e-15,6.849954970461942e-16
intercept_only,12,1200,1.0,6,792.0,0.08994739705535426,0.08581540784852947,0.004131989206824795,-0.026599638703478305,0.021836364718738278,0.6258333333333334,0.004131989206824795,-0.008051263224614583,0.016315241638264175,6,1.0,6,-0.6141249859228959,-2.8211768048175516,1.5929268329717596,-1.296148887704567,-4.7743191778296215,2.182021402420487,1.3057371146591488,0.24037611576232765,2.37109811355597,1.3057371146591488,0.24037611576232698,2.3710981135559708,-0.5264377512180736,-1.9435737561637259,0.8906982537275787,-2.4739469732063907e-16,-9.086951068490285e-16,4.1390571220775024e-16
