study,reconstructed,eligible,dominant_exclusion_reason,contributes_outcomes,als_cohort
StudyA,1404,1404,,True,False
StudyB,858,858,,True,True
StudyC,5680,0,fake_feedback_override,False,False
StudyD,1230,1230,,True,False
StudyE,240,240,,True,False
StudyF,1079,1067,feedback_not_displayed,True,True
StudyG,1198,1198,,True,False
StudyH,1926,1926,,True,False
StudyI,948,948,,True,False
StudyJ,1812,1812,,True,False
StudyK,480,480,,True,False
StudyL,990,990,,True,True
StudyM,1260,1260,,True,False
StudyN,480,480,,True,True
StudyO,1202,1187,feedback_not_displayed,True,False
StudyP,2263,0,missing_target,False,False
StudyQ,3888,1944,feedback_not_displayed,True,False
StudyR,1440,1440,,True,False
StudyS1,360,360,,True,False
StudyS2,864,864,,True,False
