analysis,n_sessions,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p_value,spearman_rho,spearman_p_value
within_study:StudyA,13,0.9278263895637144,0.770980989284206,0.9785557101591477,4.870914323510953e-06,0.9381026756366436,2.1352402933652146e-06
within_study:StudyB,56,0.6776333877517049,0.5046333831593905,0.7983141173268695,9.68941177391681e-09,0.6783589846797765,9.215375516624655e-09
within_study:StudyD,17,0.6098519407667431,0.18278571534376792,0.8433052611516747,0.009339536030220304,0.35274006218544024,0.1649155294893537
within_study:StudyE,8,0.6828837384508228,-0.04199999364451333,0.9367726136982721,0.06196617949749255,0.8365019125713041,0.009630398858026924
within_study:StudyF,30,0.9244112415939238,0.8458369516697819,0.963724594213719,3.053217097515261e-13,0.8573189845238378,1.4514363480019208e-09
within_study:StudyG,20,0.7570401326764445,0.4729656907689307,0.8985434689783462,0.000111429672502138,0.5998596975689311,0.0051761237162368
within_study:StudyH,16,0.189765894961513,-0.33770682924150985,0.6265344077044945,0.4814780598909103,0.1323529411764706,0.6251064291516133
within_study:StudyI,13,0.5130179253033269,-0.052928401025042995,0.8295252058703533,0.07299260343469911,0.6170822313419776,0.02465520843411197
within_study:StudyJ,20,0.3588411299921726,-0.09947589242818772,0.691547813884524,0.12024905167905156,0.3826748782193593,0.09585958071992184
within_study:StudyK,8,0.400757648061243,-0.4235180861889998,0.8619993247654898,0.32515835517595865,0.36596252735569995,0.37262472702449556
within_study:StudyL,11,0.9215862087098468,0.7194487553634403,0.9797948358525876,5.529588675618029e-05,0.961278120390013,2.4488608545989222e-06
within_study:StudyM,21,0.6604966784471014,0.3200710026530165,0.8498637696082304,0.0011182030590569118,0.6423272569496442,0.0016911895274440698
within_study:StudyN,16,0.8230146341607525,0.552861881243589,0.9366090165573132,9.008113114050433e-05,0.8178002143054246,0.00010876887421255888
within_study:StudyO,34,0.36430052722936745,0.029806853322652392,0.6254184594998671,0.03416126121683105,0.32179973818824975,0.06346410824174
within_study:StudyQ,53,0.7731459377591233,0.6356981374908952,0.86307690479783,1.1666232118837e-11,0.7691281491756194,1.7312445701412827e-11
within_study:StudyR,40,0.4252475213782801,0.13110553645419631,0.6505759932922766,0.006230298499824417,0.4471796939844902,0.003816174002013989
within_study:StudyS1,10,0.3159768799338952,-0.39154657560860506,0.7886944970767341,0.3737751080924139,0.4061811972299616,0.2441286818964913
within_study:StudyS2,24,0.6094335936962655,0.2732017634471974,0.8129675181199364,0.0015708919565245918,0.7716520718493698,1.0081365116239642e-05
pooled_raw,410,0.7161769697429079,0.6654877710474258,0.7602906584108744,1.0296806530743546e-65,0.7180065038887705,3.412403327579818e-66
pooled_study_centred,410,0.6771125734715554,0.6209874722599805,0.7263296974903739,2.6397562018166226e-56,0.6460189133604765,8.497035945337851e-50
