study,participant_id,study_participant_id,session_id,n_calibration_epochs,calibration_auc_reproduced,calibration_auc_ea_session,calibration_auc_rbf,calibration_auc_gbm,calibration_auc_ea_cohort
StudyA,A_01,StudyA:A_01,SE001,12913,0.823748624741205,0.8123486235372628,0.7361843100873124,0.7363819105748249,0.8124299596217437
StudyA,A_02,StudyA:A_02,SE001,12924,0.8545073599240267,0.8436086671135691,0.806850525110329,0.8020101530640746,0.8436865258924082
StudyA,A_03,StudyA:A_03,SE001,12918,0.781253213927023,0.7705132180450445,0.6842527626226274,0.6595756060710404,0.7704911946702033
StudyA,A_04,StudyA:A_04,SE001,12917,0.8814919294209318,0.8649216977477728,0.7745610188543618,0.7723847684973246,0.8653507712843113
StudyA,A_05,StudyA:A_05,SE001,12910,0.7606979010509962,0.7486510544418985,0.7147163885822359,0.6830331428208418,0.7489113180455519
StudyA,A_06,StudyA:A_06,SE001,12857,0.9009273698787222,0.8847806670921043,0.7950370990213521,0.8088424851765919,0.8855711079837206
StudyA,A_07,StudyA:A_07,SE001,12889,0.7934403846299629,0.7833106893785672,0.7120717969192428,0.700288587587182,0.783479009910275
StudyA,A_09,StudyA:A_09,SE001,12822,0.6790569754649883,0.6730616601711851,0.6799782109993945,0.6515672303664475,0.6732659764684479
StudyA,A_14,StudyA:A_14,SE001,12840,0.7431842519660473,0.738015411863296,0.6372045593340286,0.6132169125350063,0.7380943990630445
StudyA,A_15,StudyA:A_15,SE001,12872,0.8066191730845329,0.7970769039395756,0.6981807189535352,0.6922457693966642,0.7966481818699562
StudyA,A_16,StudyA:A_16,SE001,12697,0.6845619776811014,0.6755323699300644,0.6278468754772204,0.6036210491575951,0.6755556021970054
StudyA,A_17,StudyA:A_17,SE001,12915,0.742815040943217,0.7294099242229488,0.6619174651430879,0.625075912721979,0.7293026463643435
StudyA,A_19,StudyA:A_19,SE001,12911,0.7956631201089319,0.7851831595312969,0.6980170029936149,0.6782029832051995,0.7855488265914037
StudyB,B_01,StudyB:B_01,SE001,4500,0.8288070000000001,0.81717,0.660229,0.6647015000000001,0.8162555
StudyB,B_01,StudyB:B_01,SE004,3767,0.8774703867897437,0.8817086011535258,0.7157789013645435,0.7366942356570054,0.8807278042006398
StudyB,B_01,StudyB:B_01,SE005,3765,0.8345086580426948,0.8491257614117049,0.6148439722496616,0.6500093635234294,0.8448106781335282
StudyB,B_01,StudyB:B_01,SE006,3780,0.8298767006802721,0.8209800170068028,0.6560345804988662,0.6898242630385486,0.8264236111111112
StudyB,B_01,StudyB:B_01,SE007,3778,0.7802057630675856,0.7795279219490059,0.6844068181173601,0.7059842876995943,0.7742888340565528
StudyB,B_01,StudyB:B_01,SE008,3780,0.8672300170068028,0.8569125566893424,0.7050510204081633,0.7738669217687074,0.8641737528344672
StudyB,B_02,StudyB:B_02,SE001,4474,0.8716118688495064,0.8708125038893153,0.746981258939101,0.7750495935127992,0.8689152769268363
StudyB,B_02,StudyB:B_02,SE002,3780,0.8277012471655328,0.8339540816326532,0.7339122732426304,0.7290107709750567,0.8349900793650793
StudyB,B_03,StudyB:B_03,SE001,3780,0.9428302154195012,0.95156037414966,0.8353380102040817,0.8613952664399093,0.9503110827664399
StudyB,B_03,StudyB:B_03,SE002,4496,0.9277892892892892,0.9346186186186188,0.8354254254254255,0.8422967967967968,0.9325640640640639
StudyB,B_03,StudyB:B_03,SE003,3780,0.8999596088435375,0.9164958900226756,0.8094274376417234,0.8023554421768706,0.9139647108843536
StudyB,B_03,StudyB:B_03,SE004,3755,0.9165059582784296,0.9122869150154924,0.7756035346764493,0.8042736721663587,0.9184724554186567
StudyB,B_03,StudyB:B_03,SE005,3780,0.9352586451247166,0.9497002551020408,0.8877054988662133,0.8855428004535147,0.9463917233560091
StudyB,B_03,StudyB:B_03,SE006,3780,0.9146669501133788,0.9223880385487528,0.7970556972789116,0.8068771258503402,0.9215320294784581
StudyB,B_04,StudyB:B_04,SE001,3780,0.8769734977324262,0.8767332766439909,0.7811635487528344,0.8287393707482994,0.8748249716553289
StudyB,B_04,StudyB:B_04,SE002,3752,0.7568332353348091,0.7586800751706329,0.6510697691846523,0.6376936912008855,0.7347158331027486
StudyB,B_04,StudyB:B_04,SE003,3762,0.8414864300267851,0.8360170898102149,0.7039394988667842,0.6953058824202742,0.8377455300931755
StudyB,B_04,StudyB:B_04,SE004,3767,0.7077562781042648,0.7051001844865883,0.6355199413748956,0.6048273040150782,0.7023193414370564
StudyB,B_04,StudyB:B_04,SE005,4315,0.6489797784313427,0.6384945609226731,0.5790369665687771,0.5248867448477341,0.6419863680199233
StudyB,B_04,StudyB:B_04,SE006,3780,0.6185430839002268,0.6092148526077098,0.5782901077097505,0.5824135487528345,0.6073554421768708
StudyB,B_04,StudyB:B_04,SE010,3780,0.5192247732426304,0.5207086167800453,0.5113421201814059,0.4940058106575963,0.520342970521542
StudyB,B_05,StudyB:B_05,SE001,6127,0.7317927434150052,0.688890087621937,0.6087520589602299,0.6600711829479134,0.6956027202522134
StudyB,B_06,StudyB:B_06,SE001,4500,0.918041,0.922539,0.856482,0.8638345,0.9231825
StudyB,B_06,StudyB:B_06,SE002,3779,0.9482725867959568,0.9637158167822056,0.9006443244162805,0.8829824636016954,0.9622031783835894
StudyB,B_06,StudyB:B_06,SE003,3777,0.8665382924096061,0.86976963558733,0.8133275174830134,0.782653871795963,0.86929018256096
StudyB,B_07,StudyB:B_07,SE001,3780,0.8625396825396826,0.8792687074829931,0.7950977891156462,0.795999858276644,0.8772385204081633
StudyB,B_08,StudyB:B_08,SE001,3772,0.7748783371426009,0.7446450192076771,0.7445339798292697,0.7085259024262817,0.751387814282369
StudyB,B_10,StudyB:B_10,SE001,3776,0.8165751461490438,0.8126085475906691,0.711767126397639,0.6929507917588966,0.8128306090016459
StudyB,B_10,StudyB:B_10,SE002,3780,0.867046485260771,0.8760041099773243,0.7856781462585034,0.7929280045351474,0.8797881235827665
StudyB,B_10,StudyB:B_10,SE003,3767,0.6770771849684776,0.6602830600251495,0.673502935532345,0.6491689549276739,0.6611669988565824
StudyB,B_10,StudyB:B_10,SE004,3777,0.8118729799681211,0.809882327133702,0.7448139754512265,0.7419544151184208,0.8074515227960019
StudyB,B_10,StudyB:B_10,SE005,3780,0.8362485827664399,0.833061933106576,0.7606363378684806,0.730796485260771,0.8337748015873016
StudyB,B_10,StudyB:B_10,SE006,3738,0.6586480572407725,0.6514242173389524,0.6262641538924651,0.6069067521882091,0.6545654262955588
StudyB,B_11,StudyB:B_11,SE001,3766,0.676584083584133,0.6744444993422998,0.6600968254957098,0.6256099927463226,0.6753495978970779
StudyB,B_11,StudyB:B_11,SE002,3776,0.7078047846075259,0.6798846415801123,0.6959127930075486,0.6702600885407797,0.6873226346557693
StudyB,B_11,StudyB:B_11,SE003,3685,0.8104628560789424,0.7680364922733198,0.7068776764103519,0.6939273878234965,0.7769353937814186
StudyB,B_11,StudyB:B_11,SE004,3773,0.7781048954028376,0.7717047988297615,0.7057255052334086,0.6823285472853025,0.7668299887804809
StudyB,B_12,StudyB:B_12,SE001,3769,0.6404858761087165,0.6392027927189826,0.5769408328286966,0.5721091440173832,0.6391415238841591
StudyB,B_12,StudyB:B_12,SE012,3763,0.6160147617310705,0.6025060613212607,0.6231295728109513,0.5886061464300785,0.6047339097846531
StudyB,B_13,StudyB:B_13,SE001,3447,0.7456681103432143,0.7384384040895379,0.7455210479784514,0.7061908955496004,0.7369660604142514
StudyB,B_13,StudyB:B_13,SE002,3446,0.7649330606597383,0.7580655379601683,0.7184172091840657,0.7169271341481442,0.755147051991286
StudyB,B_13,StudyB:B_13,SE003,3539,0.7605275872064933,0.7525912326472768,0.687975488775083,0.6694479337778207,0.7509445357039328
StudyB,B_14,StudyB:B_14,SE001,3780,0.7227366780045352,0.7053557256235827,0.6990773809523809,0.6841475340136054,0.707062074829932
StudyB,B_14,StudyB:B_14,SE002,2877,0.8119891474384044,0.8380340731325773,0.7293080269847477,0.7123240125146656,0.8351498337895972
StudyB,B_14,StudyB:B_14,SE003,3771,0.7888611786105071,0.7772903610862428,0.7186326753918517,0.6735423683051257,0.7766253144050816
StudyB,B_14,StudyB:B_14,SE004,2884,0.6432287051874195,0.5986652841926666,0.7123813114651083,0.6824783988437491,0.618687278097213
StudyB,B_16,StudyB:B_16,SE001,6082,0.528141265762136,0.5281676721040138,0.5530533353659864,0.5310056732800488,0.5279732996493673
StudyB,B_17,StudyB:B_17,SE001,3775,0.9295267123891664,0.936971078764639,0.8312081663305276,0.8256312919403428,0.9383180055811414
StudyB,B_17,StudyB:B_17,SE002,3778,0.9486549533452452,0.9605235542698318,0.8706982614367962,0.8656421055617006,0.9585602257579625
StudyB,B_17,StudyB:B_17,SE003,3778,0.9473419822498028,0.9562483436015236,0.8380825637815552,0.8605768991652107,0.95300055917881
StudyB,B_18,StudyB:B_18,SE001,3778,0.8702243323071065,0.8715785823857964,0.786373089502004,0.7862778798952126,0.8699500717979909
StudyB,B_18,StudyB:B_18,SE002,3780,0.7402097505668934,0.7326318027210885,0.6281653911564625,0.624109268707483,0.7377437641723356
StudyB,B_18,StudyB:B_18,SE003,3777,0.711425308878392,0.6990063406953487,0.5871845610451508,0.5701129126062102,0.7039100954650552
StudyB,B_18,StudyB:B_18,SE004,3779,0.6411935241497612,0.6386502502161924,0.5979607025900566,0.5623045407505068,0.6358851131997902
StudyB,B_19,StudyB:B_19,SE001,3779,0.5939622053048668,0.5832971831185585,0.617520804094189,0.5740583223465033,0.5832440210380073
StudyB,B_20,StudyB:B_20,SE001,3780,0.9124723639455784,0.9198384353741496,0.7718587018140589,0.7937450396825398,0.9202721088435373
StudyB,B_20,StudyB:B_20,SE002,3780,0.9186189058956916,0.9234871031746033,0.6952104591836734,0.8188010204081632,0.921937358276644
StudyB,B_21,StudyB:B_21,SE001,3778,0.80731515357781,0.8126010380328427,0.6419127031396239,0.6495455061119146,0.808699906406875
StudyC,C_01,StudyC:C_01,SE001,2400,0.9036636363636364,0.9412272727272728,0.7561522727272727,0.7615454545454545,0.9281045454545456
StudyC,C_02,StudyC:C_02,SE001,2386,0.8449260608534134,0.840902713846111,0.7413208172843916,0.7312775228240882,0.8303724436673445
StudyC,C_03,StudyC:C_03,SE001,2382,0.7043350168350166,0.761086136086136,0.6170449920449921,0.5710285085285085,0.7427040552040552
StudyC,C_04,StudyC:C_04,SE001,2366,0.9058351061215608,0.9161675946013624,0.7600428745614837,0.8298427542693187,0.906115943860536
StudyC,C_06,StudyC:C_06,SE001,2400,0.770165909090909,0.7559931818181819,0.6305795454545455,0.6776613636363636,0.7638772727272726
StudyC,C_07,StudyC:C_07,SE001,2373,0.8080350477754554,0.8160808263660795,0.7739763735443417,0.7411844020603164,0.8112636234696926
StudyC,C_08,StudyC:C_08,SE001,2400,0.7045818181818182,0.7363363636363636,0.5642909090909092,0.6450568181818181,0.728990909090909
StudyC,C_09,StudyC:C_09,SE001,2400,0.7382909090909092,0.750740909090909,0.640765909090909,0.6102386363636364,0.7482795454545454
StudyC,C_10,StudyC:C_10,SE001,2131,0.6607340004985932,0.7065303845103694,0.6502872846848772,0.5915126369647543,0.7033459168773817
StudyC,C_11,StudyC:C_11,SE001,1433,0.6987196705166084,0.669064886228464,0.6498279677167671,0.5884591279434148,0.699128966655155
StudyC,C_12,StudyC:C_12,SE001,1456,0.7130383480825958,0.7933259587020648,0.6386799410029498,0.5825811209439529,0.758362831858407
StudyC,C_13,StudyC:C_13,SE001,2400,0.7572068181818181,0.7675204545454546,0.6237681818181818,0.6538181818181819,0.7721386363636364
StudyC,C_14,StudyC:C_14,SE001,2391,0.8811070117499665,0.8868622384354258,0.8333195152620597,0.7918100291561303,0.8924931024794225
StudyC,C_15,StudyC:C_15,SE001,2226,0.7044449875095037,0.7029977191267514,0.7561040512653416,0.726007385684805,0.7051211035082003
StudyC,C_17,StudyC:C_17,SE001,600,,,,,
StudyD,D_01,StudyD:D_01,SE001,6120,0.911727366255144,0.9074277263374484,0.7184272119341564,0.7435090020576132,0.9072826646090534
StudyD,D_02,StudyD:D_02,SE001,6081,0.8763030111893324,0.8595489862355311,0.7222673710933123,0.7094651900466288,0.8626031813881236
StudyD,D_03,StudyD:D_03,SE001,6114,0.7588332574977348,0.7359152669305659,0.6438937304798524,0.6260901958105235,0.7375486754979691
